,qubit_freq,rabi_freq,anharmonicity,N_levles,p_drag,ramp_length_ns,sample_rate,detuning_scan,max_pop_up,max_pop_down
0,4428.64,70.0,200.0,10,-16,200,2000,6.283185307179586,1.624235111908419e-08,6.625126629776114e-09
1,4428.64,70.0,200.0,10,-16,200,2000,10.0018051828573,1.666022087359041e-08,5.798864514219078e-09
2,4428.64,70.0,200.0,10,-16,200,2000,13.720425058535016,1.74865150745316e-08,4.5450726535522125e-09
3,4428.64,70.0,200.0,10,-16,200,2000,17.439044934212728,1.4566390851770874e-08,1.1541324384994294e-09
4,4428.64,70.0,200.0,10,-16,200,2000,21.157664809890445,1.785752056483183e-08,5.967605652472613e-10
5,4428.64,70.0,200.0,10,-16,200,2000,24.87628468556816,1.8102905213771342e-08,1.5979925484345623e-09
6,4428.64,70.0,200.0,10,-16,200,2000,28.594904561245873,1.8390064203054922e-08,2.551624683293813e-09
7,4428.64,70.0,200.0,10,-16,200,2000,32.313524436923586,1.845410359473774e-08,5.575728043299894e-10
8,4428.64,70.0,200.0,10,-16,200,2000,36.032144312601304,2.021645714646125e-14,9.37030875916245e-12
9,4428.64,70.0,200.0,10,-16,200,2000,39.750764188279014,3.04772899180684e-14,1.0935939358799433e-13
10,4428.64,70.0,200.0,10,-16,200,2000,43.46938406395673,2.160079243938794e-14,3.065905107577659e-14
11,4428.64,70.0,200.0,10,-16,200,2000,47.18800393963444,2.2389539426682804e-14,1.4118171343605822e-14
12,4428.64,70.0,200.0,10,-16,200,2000,50.90662381531216,1.2178248956262785e-14,1.6853954493963996e-14
13,4428.64,70.0,200.0,10,-16,200,2000,54.625243690989876,3.0794375842588936e-14,2.4467080156324606e-14
14,4428.64,70.0,200.0,10,-16,200,2000,58.34386356666758,2.0782370469928502e-14,2.8743722325000676e-14
15,4428.64,70.0,200.0,10,-16,200,2000,62.0624834423453,4.6741689179187095e-14,1.3311504299354808e-14
16,4428.64,70.0,200.0,10,-16,200,2000,65.78110331802301,1.2997400456391936e-14,1.741255393938265e-14
17,4428.64,70.0,200.0,10,-16,200,2000,69.49972319370073,1.1185546558037154e-14,1.2479225750080505e-14
18,4428.64,70.0,200.0,10,-16,200,2000,73.21834306937845,2.3264212461315522e-14,1.4852013678213866e-14
19,4428.64,70.0,200.0,10,-16,200,2000,76.93696294505615,1.5842625603535172e-14,2.5902955995476795e-14
20,4428.64,70.0,200.0,10,-16,200,2000,80.65558282073387,1.7003119801054445e-14,1.542941102142648e-14
21,4428.64,70.0,200.0,10,-16,200,2000,84.37420269641159,2.5582397509192527e-14,1.9663917773787443e-14
22,4428.64,70.0,200.0,10,-16,200,2000,88.09282257208929,3.261065637738867e-14,1.1612672534955058e-14
23,4428.64,70.0,200.0,10,-16,200,2000,91.811442447767,1.2354301273424599e-14,1.1657072159193416e-14
24,4428.64,70.0,200.0,10,-16,200,2000,95.53006232344472,1.3171857537978521e-14,1.3826217192151486e-14
25,4428.64,70.0,200.0,10,-16,200,2000,99.24868219912244,1.6589432666124088e-14,2.2549902365655402e-14
26,4428.64,70.0,200.0,10,-16,200,2000,102.96730207480016,1.1681631888262417e-14,1.531901071130293e-14
27,4428.64,70.0,200.0,10,-16,200,2000,106.68592195047786,1.949426562000823e-14,1.6800820875324698e-14
28,4428.64,70.0,200.0,10,-16,200,2000,110.40454182615558,4.761189924847593e-14,1.945625030859887e-14
29,4428.64,70.0,200.0,10,-16,200,2000,114.1231617018333,1.326647095691687e-14,3.2849669526707056e-14
30,4428.64,70.0,200.0,10,-16,200,2000,117.84178157751101,1.7226175085570425e-14,2.755310238959936e-14
31,4428.64,70.0,200.0,10,-16,200,2000,121.56040145318873,1.150231428381351e-14,2.601206929513874e-14
32,4428.64,70.0,200.0,10,-16,200,2000,125.27902132886645,1.2058503610175625e-14,2.4251592833936734e-14
33,4428.64,70.0,200.0,10,-16,200,2000,128.99764120454415,1.3544118230142579e-14,2.207977664481157e-14
34,4428.64,70.0,200.0,10,-16,200,2000,132.71626108022187,1.4884591035818566e-14,3.0695345480123475e-14
35,4428.64,70.0,200.0,10,-16,200,2000,136.4348809558996,5.0251958183842956e-14,2.8092779650336178e-14
36,4428.64,70.0,200.0,10,-16,200,2000,140.1535008315773,3.419435555131705e-14,2.348020804025343e-14
37,4428.64,70.0,200.0,10,-16,200,2000,143.872120707255,1.3430805824924531e-14,1.227277421951643e-14
38,4428.64,70.0,200.0,10,-16,200,2000,147.5907405829327,1.2122668076642217e-14,4.964697312980275e-14
39,4428.64,70.0,200.0,10,-16,200,2000,151.30936045861043,6.739020170414185e-14,2.5185514882861527e-14
40,4428.64,70.0,200.0,10,-16,200,2000,155.02798033428815,3.799327717410046e-14,1.4728466418331675e-14
41,4428.64,70.0,200.0,10,-16,200,2000,158.74660020996586,2.1353376006531314e-14,1.1113481309611655e-14
42,4428.64,70.0,200.0,10,-16,200,2000,162.46522008564358,3.480429735292052e-14,1.5791382951389254e-14
43,4428.64,70.0,200.0,10,-16,200,2000,166.1838399613213,1.6189959499409026e-14,1.4054012055436996e-14
44,4428.64,70.0,200.0,10,-16,200,2000,169.90245983699901,9.114237300951121e-15,2.6217574347932813e-14
45,4428.64,70.0,200.0,10,-16,200,2000,173.62107971267673,1.1473574043880731e-14,1.3948065952233673e-14
46,4428.64,70.0,200.0,10,-16,200,2000,177.33969958835445,1.2435336323776308e-14,1.4147991690529832e-14
47,4428.64,70.0,200.0,10,-16,200,2000,181.05831946403217,2.6165749802354727e-14,1.4714682559042024e-14
48,4428.64,70.0,200.0,10,-16,200,2000,184.77693933970988,6.012188905982558e-14,1.2990980226763856e-14
49,4428.64,70.0,200.0,10,-16,200,2000,188.49555921538757,2.5826263019695035e-14,2.465799890465137e-14
